Element Label,X1_IP0,X2_IP0,X3_IP0,S11_IP0,S22_IP0,S33_IP0,S12_IP0,S13_IP0,S23_IP0,X1_IP1,X2_IP1,X3_IP1,S11_IP1,S22_IP1,S33_IP1,S12_IP1,S13_IP1,S23_IP1,X1_IP2,X2_IP2,X3_IP2,S11_IP2,S22_IP2,S33_IP2,S12_IP2,S13_IP2,S23_IP2,X1_IP3,X2_IP3,X3_IP3,S11_IP3,S22_IP3,S33_IP3,S12_IP3,S13_IP3,S23_IP3,X1_IP4,X2_IP4,X3_IP4,S11_IP4,S22_IP4,S33_IP4,S12_IP4,S13_IP4,S23_IP4,X1_IP5,X2_IP5,X3_IP5,S11_IP5,S22_IP5,S33_IP5,S12_IP5,S13_IP5,S23_IP5,X1_IP6,X2_IP6,X3_IP6,S11_IP6,S22_IP6,S33_IP6,S12_IP6,S13_IP6,S23_IP6,X1_IP7,X2_IP7,X3_IP7,S11_IP7,S22_IP7,S33_IP7,S12_IP7,S13_IP7,S23_IP7,Instance
101.0,-7.741389274597168,-5.713930130004883,1.7775835990905762,0.08133909106254578,-0.3750840723514557,4.761894702911377,-2.0477561950683594,-0.5568743348121643,1.174013376235962,-7.864129543304443,-5.939709186553955,1.5763497352600098,-2.6451077461242676,-3.7670044898986816,-7.3742523193359375,-0.5976539254188538,-1.9995100498199463,1.1703652143478394,-7.864141464233398,-5.939718246459961,1.8680164813995361,1.8296406269073486,1.4958808422088623,1.6605571508407593,-1.5208947658538818,-3.454768657684326,2.5346758365631104,-8.055658340454102,-5.674558639526367,1.8680164813995361,0.9847691059112549,3.254976272583008,9.990629196166992,-0.8094379305839539,2.575505495071411,-4.671429634094238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROD1-1
113.0,-1.5102814435958862,-9.276885032653809,1.448639154434204,-1.2624741792678833,-1.0068755149841309,-0.5268110632896423,0.3317500352859497,1.6144397258758545,0.4476691484451294,-1.699735403060913,-9.506123542785645,1.231714129447937,3.05808162689209,4.81852388381958,14.698437690734863,-1.505537986755371,3.933302640914917,-3.819852828979492,-1.3441628217697144,-9.268365859985352,1.231737732887268,-6.964085578918457,-4.798872470855713,-15.51995849609375,1.5755623579025269,0.8836032748222351,1.5097311735153198,-1.3772796392440796,-9.560912132263184,1.2317179441452026,1.8509635925292969,-1.3043367862701416,-0.06823499500751495,-1.2266733646392822,-1.1259915828704834,2.019925355911255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROD1-1
148.0,0.08230647444725037,-9.393597602844238,2.707285165786743,-3.400254487991333,-5.450081825256348,-8.999778747558594,-0.41227853298187256,2.681973934173584,5.829000473022461,-0.21977804601192474,-9.407990455627441,2.7014689445495605,-2.540879249572754,-3.3914709091186523,-5.382607936859131,1.449494481086731,-3.63887882232666,5.562148571014404,-0.037694286555051804,-9.604758262634277,2.883042573928833,-1.9804130792617798,-4.29849910736084,-0.9798215627670288,0.08073334395885468,-0.27484461665153503,7.730831146240234,-0.037693608552217484,-9.361702919006348,2.8830440044403076,-3.8960044384002686,-1.6660873889923096,-9.655352592468262,0.454977810382843,0.1459009200334549,3.7003753185272217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROD1-1
171.0,-3.306049108505249,-7.437841892242432,2.310448169708252,-8.278853416442871,-0.11821826547384262,-50.06929397583008,0.729669988155365,2.6645843982696533,6.99895715713501,-3.667328119277954,-7.365241050720215,2.3085944652557373,-8.48474407196045,3.0405759811401367,-15.559636116027832,4.863749980926514,9.234265327453613,2.603066921234131,-3.3824093341827393,-7.178605556488037,2.2864670753479004,-1.3527138233184814,4.921919822692871,-17.357799530029297,7.2859320640563965,3.4654386043548584,-7.76647424697876,-3.385143995285034,-7.426772594451904,2.1355040073394775,-16.480356216430664,-5.0329976081848145,-58.325374603271484,5.096117973327637,10.026626586914062,8.364714622497559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROD1-1
173.0,-2.9329261779785156,-7.576841354370117,2.026440382003784,-0.8430076837539673,-0.07116337865591049,-59.56451416015625,3.2192270755767822,0.9046550989151001,12.378107070922852,-2.8538289070129395,-7.58790922164917,2.201373338699341,-11.859118461608887,-5.417299270629883,-56.462615966796875,5.116969108581543,5.057675361633301,7.542811393737793,-2.696927070617676,-7.66860294342041,2.0198957920074463,-4.023364543914795,14.680560111999512,-40.85911178588867,4.213312149047852,13.095693588256836,-1.6725292205810547,-2.7035508155822754,-7.422545909881592,2.1774072647094727,-1.8582030534744263,6.354094982147217,-34.844703674316406,3.465620517730713,2.1584792137145996,-0.16243872046470642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROD1-1
174.0,-3.596327543258667,-7.457510471343994,1.8819572925567627,-11.124314308166504,7.599194049835205,2.5742383003234863,6.2750725746154785,13.80115795135498,-1.960564136505127,-3.878509759902954,-7.395982265472412,2.055055856704712,-14.84695053100586,-4.52820348739624,-45.76047134399414,3.7450337409973145,2.510561943054199,7.999545097351074,-3.593592643737793,-7.20934534072876,1.8142170906066895,-3.9049463272094727,6.975268840789795,-25.07493019104004,2.7929587364196777,6.415093898773193,0.5832631587982178,-3.865072250366211,-7.519201755523682,1.8580451011657715,-3.5319151878356934,-1.8727110624313354,-19.290189743041992,2.757749557495117,1.1163955926895142,9.068620681762695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROD1-1
175.0,-3.0748698711395264,-7.371219158172607,2.122077465057373,-16.676292419433594,-7.145423412322998,-70.28414154052734,6.043272018432617,9.46846866607666,5.796308994293213,-3.0729262828826904,-7.1249589920043945,2.273033857345581,-3.3613336086273193,4.320296287536621,-26.138538360595703,5.092244625091553,4.801088333129883,-5.983345985412598,-2.9957737922668457,-7.382290840148926,2.297013521194458,-10.103960990905762,-0.3638260066509247,-54.06782531738281,4.229554653167725,3.9809491634368896,5.578968524932861,-2.846287965774536,-7.218836307525635,2.273043394088745,-1.0895665884017944,3.830313205718994,-29.46062469482422,1.8422937393188477,-1.238685131072998,-0.5549455285072327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROD1-1
176.0,-3.590162754058838,-7.899817943572998,1.7249064445495605,-6.798874378204346,1.5964744091033936,2.5892257690429688,-3.0554792881011963,9.858684539794922,8.99842357635498,-3.6723594665527344,-8.172615051269531,1.7852506637573242,-7.3660736083984375,-3.5951082706451416,-11.50014877319336,-2.654981851577759,-1.1070811748504639,9.930502891540527,-3.858903169631958,-7.9614996910095215,1.7009985446929932,-4.115492343902588,-1.033913493156433,-1.454784631729126,1.342284083366394,3.3147799968719482,-5.793423652648926,-3.777251720428467,-8.0458345413208,1.5112874507904053,-7.274834156036377,0.7783063650131226,-11.891880989074707,-3.1832118034362793,-0.6453438401222229,1.0952208042144775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROD1-1
181.0,-0.8133830428123474,-8.628796577453613,2.3277218341827393,-3.4199795722961426,-0.6248884201049805,-9.413050651550293,3.444828987121582,-1.6132829189300537,5.152372360229492,-0.5307608246803284,-8.788853645324707,2.1432583332061768,-8.926529884338379,-5.623501777648926,-17.298189163208008,-0.8356052041053772,1.810971736907959,6.615656852722168,-0.5567700862884521,-8.513955116271973,2.3330676555633545,-5.13023042678833,1.119293212890625,-7.35614538192749,-0.35741516947746277,4.061690807342529,5.7524309158325195,-0.6303258538246155,-8.885411262512207,2.3422417640686035,-9.072006225585938,-5.43361234664917,-22.43271255493164,-0.4653194546699524,0.3195496201515198,6.224719047546387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROD1-1
182.0,-0.4086318612098694,-8.8655424118042,2.4613070487976074,-5.370484828948975,-3.6828205585479736,-11.076532363891602,1.7692798376083374,4.785714149475098,5.576849937438965,-0.3090669810771942,-8.768986701965332,2.262324810028076,-1.0647268295288086,-4.84588098526001,-20.107582092285156,-1.4044543504714966,6.540295124053955,5.567627906799316,-0.33507758378982544,-8.494087219238281,2.452131986618042,-7.344010353088379,-2.1378509998321533,-16.91973304748535,-0.055848222225904465,-4.390442371368408,9.76215934753418,-0.22654622793197632,-8.576199531555176,2.642882823944092,-5.681086540222168,-6.734877109527588,-23.954452514648438,0.6790383458137512,-9.163802146911621,7.070817947387695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROD1-1
