Element Label,X1,X2,X3,S11,S22,S33,S12,S13,S23
8007.0,4.573878765106201,16.92140007019043,0.6446474194526672,-25.270261764526367,-16.329153060913086,0.06867419928312302,2.34060001373291,0.11419118195772171,0.48493435978889465
8008.0,4.573939800262451,18.304838180541992,0.6448133587837219,-22.90310287475586,-12.821610450744629,0.1058109849691391,2.3669469356536865,-0.06929633021354675,0.6050434112548828
8009.0,4.574007511138916,19.738847732543945,0.6475789546966553,-20.566232681274414,-9.17893123626709,-0.2813199758529663,2.5169179439544678,0.17360557615756989,0.3864707350730896
8010.0,4.574079513549805,21.22527313232422,0.652747631072998,-18.273277282714844,-6.410689353942871,0.20239686965942383,2.5209691524505615,-0.005541243124753237,0.4741745591163635
8011.0,4.574155330657959,22.766021728515625,0.6601381897926331,-16.138105392456055,-3.1102349758148193,-0.22401653230190277,2.6611483097076416,0.15042899549007416,0.28828802704811096
8012.0,4.5742316246032715,24.363069534301758,0.6695501804351807,-13.952680587768555,-0.6982799768447876,0.29379990696907043,2.46994686126709,0.06420806050300598,0.3230452537536621
8013.0,4.574306011199951,26.018474578857422,0.680791437625885,-12.109793663024902,1.7844641208648682,-0.3442821800708771,2.3809239864349365,0.06731575727462769,0.3584931492805481
8014.0,4.5743794441223145,27.734357833862305,0.6936488747596741,-9.820342063903809,4.297191143035889,0.45632097125053406,2.294004201889038,-0.012153230607509613,0.4102663993835449
8015.0,4.574453353881836,29.512941360473633,0.7078790068626404,-8.223381996154785,6.540611267089844,-0.48974043130874634,2.235724687576294,-0.006212824955582619,0.243289977312088
8016.0,4.57452917098999,31.356510162353516,0.7232155799865723,-5.939746379852295,8.875049591064453,0.5236003994941711,2.1803386211395264,0.017793625593185425,0.4207184612751007
8017.0,4.574604034423828,33.267452239990234,0.7393502593040466,-4.472038745880127,10.963434219360352,-0.5715989470481873,1.9804526567459106,0.049107249826192856,0.26303669810295105
8018.0,4.57467794418335,35.24821472167969,0.7559265494346619,-2.170915365219116,13.522298812866211,0.5340247750282288,1.9171826839447021,-0.008940367959439754,0.5798389315605164
8019.0,4.574752330780029,37.30137634277344,0.7725025415420532,-0.5325456261634827,16.03093719482422,-0.6047843098640442,1.7542201280593872,-0.014891020953655243,0.1420472413301468
8020.0,4.574825286865234,39.429569244384766,0.7885597944259644,1.9432318210601807,18.75188636779785,0.7660184502601624,1.5567984580993652,-0.008007753640413284,0.6598925590515137
8021.0,4.574897766113281,41.635562896728516,0.803438663482666,3.407616138458252,21.70268440246582,-0.8381272554397583,1.4362984895706177,-0.029849154874682426,0.15280364453792572
8022.0,4.57496976852417,43.922218322753906,0.8163403272628784,6.189798355102539,25.333253860473633,1.0508307218551636,1.1864720582962036,-0.05900466442108154,0.6454557776451111
8023.0,4.575035095214844,46.292503356933594,0.8262261748313904,7.747025489807129,29.224735260009766,-0.982363224029541,0.9267424941062927,0.010226340033113956,0.1656734198331833
8024.0,4.575096607208252,48.74945831298828,0.8317942023277283,10.986898422241211,33.70742416381836,1.2408581972122192,0.697946310043335,-0.0014200255973264575,0.773850679397583
8201.0,5.533153057098389,5.533318042755127,0.9701467752456665,-86.65362548828125,-91.15528869628906,-42.21180725097656,-46.70763397216797,-6.3907270431518555,-4.930549144744873
8202.0,5.5200114250183105,6.488731861114502,0.8575323820114136,-106.07622528076172,-108.28319549560547,-22.497453689575195,-11.574332237243652,17.710004806518555,22.620603561401367
8203.0,5.511614799499512,7.481342792510986,0.7816609144210815,-99.60829162597656,-104.75714874267578,2.8923444747924805,-3.190315008163452,5.374251842498779,3.732067108154297
8204.0,5.507683753967285,8.514269828796387,0.7339807748794556,-89.84635925292969,-102.11090850830078,-2.2016894817352295,-9.881905555725098,1.8021479845046997,7.565235614776611
8205.0,5.506682872772217,9.588583946228027,0.7041450142860413,-52.43897247314453,-74.08450317382812,0.5992709994316101,-14.696016311645508,2.006333351135254,4.147339344024658
8206.0,5.506300926208496,10.703287124633789,0.6837135553359985,-54.47564697265625,-59.47061538696289,-0.9445356726646423,-7.830906391143799,2.0125303268432617,3.7888028621673584
8207.0,5.50608491897583,11.859007835388184,0.668797492980957,-39.57784652709961,-44.81150817871094,0.6334956288337708,-3.1860647201538086,1.1002625226974487,3.381225824356079
8208.0,5.506007671356201,13.057174682617188,0.6579675078392029,-35.156124114990234,-31.25979995727539,-1.2357970476150513,1.469200849533081,0.5307586193084717,1.4516457319259644
8209.0,5.506022930145264,14.29926872253418,0.6503702998161316,-30.63551139831543,-25.705339431762695,0.940092921257019,2.0511786937713623,0.21702755987644196,0.8474439978599548
8210.0,5.506071090698242,15.586808204650879,0.6456921696662903,-28.332975387573242,-20.607046127319336,-0.8307628035545349,2.6444060802459717,0.23267389833927155,1.0142611265182495
8211.0,5.506139755249023,16.92144775390625,0.6437776684761047,-24.92418098449707,-16.150236129760742,0.656532347202301,2.832329034805298,0.05267297849059105,0.3869702219963074
